promedio,asistencia,reprobadas,semestre,ingreso_familiar,beca,trabaja,horas_trabajo,internet_casa,computadora_propia,deserto,probabilidad_desercion,riesgo
4.17,72,4,9,2251,0,1,28,0,0,1,0.9526526,1
5.19,69,4,7,9547,0,1,19,1,0,1,0.9059677,1
7.98,53,5,9,4385,0,1,32,0,0,1,0.82284766,1
3.0,100,2,4,30000,0,1,60,1,1,1,0.8259038,1
8.06,78,3,5,13539,0,0,0,1,1,0,0.42764473,1
3.74,68,2,5,7356,0,1,25,0,0,1,0.90024656,1
5.85,91,2,4,3128,1,0,0,0,0,1,0.82074445,1
6.25,71,2,10,30000,0,0,0,1,0,0,0.62621343,1
8.28,91,2,4,4499,0,1,27,1,1,0,0.46146137,1
7.11,65,2,7,13314,0,1,24,0,1,1,0.6543711,1
5.37,91,4,4,12020,0,0,0,0,0,0,0.81772655,1
6.17,84,3,6,5557,1,0,0,1,1,0,0.8608986,1
7.49,65,2,6,25794,0,1,38,1,1,1,0.6659751,1
8.82,86,0,5,4438,1,0,0,1,1,0,0.21941955,0
7.53,89,3,6,2617,0,1,35,0,1,1,0.7761472,1
6.92,76,1,7,14412,0,1,25,1,0,0,0.46058825,1
6.68,59,3,5,6781,0,1,24,1,0,1,0.85972065,1
9.6,58,1,8,27568,0,0,0,1,0,0,0.1714861,0
5.8,73,2,4,5564,0,0,0,1,0,0,0.8563381,1
6.37,78,1,5,16029,1,1,33,1,1,1,0.56578016,1
7.66,40,2,5,30000,0,1,34,1,0,1,0.70114475,1
9.13,85,2,6,16364,0,1,25,1,1,0,0.24555536,0
4.37,82,1,5,10522,0,1,37,0,1,1,0.8506084,1
8.64,98,1,10,20410,0,1,10,1,0,0,0.2328024,0
8.94,71,3,9,6304,0,0,0,0,0,1,0.6273154,1
7.51,70,2,4,6759,0,1,30,0,1,1,0.7954953,1
4.09,80,2,6,9069,0,1,29,0,1,1,0.8704198,1
5.96,56,3,5,25324,0,1,30,0,1,1,0.83063924,1
6.87,76,1,6,13796,1,1,10,0,0,0,0.4567366,1
7.55,50,2,5,9165,1,0,0,0,1,0,0.65401196,1
5.12,63,3,6,30000,0,1,31,1,0,1,0.8750255,1
6.7,76,1,10,3734,1,1,26,0,1,1,0.6886113,1
8.23,74,2,6,10889,0,1,26,0,0,0,0.5143492,1
6.22,59,2,7,9590,0,0,0,1,0,0,0.6913293,1
6.61,80,3,7,11252,0,0,0,0,1,0,0.76096326,1
6.35,74,2,8,23409,1,0,0,0,1,0,0.65310055,1
4.83,83,2,4,11032,0,1,17,1,1,1,0.81811035,1
6.52,64,1,8,2000,0,0,0,0,0,0,0.75062,1
6.74,70,1,10,4635,1,1,48,1,0,1,0.8597043,1
8.28,81,2,7,6292,1,1,43,1,1,1,0.70072716,1
5.82,58,5,5,4775,0,0,0,0,0,1,0.90613246,1
5.0,79,1,7,10159,0,0,0,1,0,0,0.7126617,1
6.31,62,5,8,7412,0,0,0,0,0,1,0.8381783,1
5.68,98,1,7,9918,0,1,41,1,1,0,0.7874772,1
7.98,63,4,4,14461,1,0,0,1,0,0,0.5379638,1
6.19,82,4,10,15811,0,1,41,0,1,0,0.889378,1
4.6,46,1,10,10888,0,1,25,0,1,0,0.8699461,1
8.05,70,4,6,2947,0,0,0,1,1,0,0.6164236,1
6.97,77,3,7,2922,1,1,22,1,0,0,0.7981892,1
7.37,71,2,4,6059,1,1,19,1,0,1,0.73584425,1
7.72,67,3,10,11114,0,1,47,1,1,1,0.84535074,1
8.78,59,1,9,3330,0,1,24,0,1,0,0.5868334,1
5.62,74,2,7,4541,0,1,38,1,0,1,0.9320506,1
8.08,70,1,8,15203,0,0,0,1,1,0,0.35350928,0
7.2,73,1,5,9267,1,0,0,0,1,0,0.55687034,1
7.18,64,1,5,14243,0,1,49,1,1,1,0.7309577,1
6.93,56,2,5,13128,0,1,25,1,0,1,0.63039184,1
6.34,87,6,7,17449,1,0,0,1,1,1,0.7136783,1
7.43,93,3,4,15360,0,1,33,1,0,0,0.7185828,1
7.13,89,2,9,18291,1,1,17,1,1,0,0.44946915,1
8.17,79,1,6,3222,0,0,0,1,0,0,0.40058374,1
9.46,78,2,6,22778,0,1,37,1,0,0,0.4023708,1
5.51,72,2,4,30000,1,1,40,1,0,1,0.87728775,1
10.0,75,1,8,2845,1,0,0,0,1,0,0.14166355,0
8.82,75,1,9,30000,0,0,0,1,1,0,0.22993389,0
5.27,61,2,7,11632,0,1,24,0,1,1,0.8654069,1
6.88,57,0,5,20741,0,0,0,1,0,0,0.38217542,0
7.08,79,1,8,7921,0,1,32,0,1,1,0.5861013,1
8.95,58,2,4,23218,0,0,0,1,0,0,0.3990413,0
5.55,95,5,9,7854,1,1,20,1,0,1,0.8806519,1
9.81,69,3,7,19609,0,0,0,1,0,0,0.29165465,0
5.37,84,2,5,3341,0,1,54,1,1,1,0.91979766,1
6.51,76,4,6,8304,0,1,44,0,1,1,0.8851412,1
6.11,71,1,7,4328,0,1,52,1,0,1,0.9087652,1
5.11,77,4,5,6082,1,0,0,0,1,1,0.898222,1
5.29,75,1,9,29437,0,0,0,1,1,0,0.59115887,1
6.15,84,0,6,3776,0,1,52,1,0,1,0.8775992,1
6.67,82,3,9,5872,0,0,0,0,1,0,0.819205,1
6.11,94,0,9,5526,0,1,47,0,0,1,0.8523786,1
5.61,75,4,4,4217,0,0,0,0,1,1,0.89440095,1
3.0,82,1,7,9782,0,1,20,1,1,1,0.78460693,1
6.65,64,4,5,5315,1,1,32,1,1,1,0.8700878,1
10.0,92,5,8,30000,0,1,47,1,1,1,0.3847495,0
9.73,71,1,7,9285,0,0,0,0,1,0,0.16256756,0
8.93,76,2,6,5625,0,1,24,0,1,0,0.5012702,1
6.46,64,2,9,20354,0,0,0,1,1,0,0.6192302,1
7.91,58,1,4,2945,0,1,20,0,1,1,0.5658571,1
6.24,40,1,7,5321,1,1,51,0,1,1,0.83081657,1
6.34,100,2,5,10785,1,1,25,1,1,0,0.5381268,1
7.34,93,3,4,2962,0,1,22,1,1,1,0.7107921,1
8.72,63,0,8,10859,0,1,42,0,1,1,0.46486294,1
6.3,70,3,7,6237,0,1,28,0,1,1,0.90063334,1
6.04,52,2,9,9034,1,1,29,0,0,1,0.82760274,1
7.04,85,1,7,10315,0,0,0,0,1,0,0.381773,0
4.73,80,2,5,14163,1,1,22,1,0,1,0.85126853,1
8.46,85,1,10,5443,0,1,17,1,1,0,0.34674358,0
8.72,66,1,4,7310,1,1,30,0,1,0,0.6091997,1
8.98,83,2,4,16597,0,1,41,1,0,0,0.62582916,1
8.33,74,3,8,4343,0,1,40,1,0,1,0.8126646,1
6.15,55,3,6,8050,0,0,0,1,0,1,0.841232,1
6.72,92,1,6,17031,1,0,0,1,1,0,0.38335186,0
5.6,67,1,9,4432,0,0,0,1,1,0,0.8180394,1
7.59,84,2,5,4259,0,1,38,1,0,0,0.7481597,1
10.0,85,2,9,3442,0,0,0,0,1,0,0.2125858,0
5.54,88,2,7,19056,1,0,0,1,0,0,0.6729945,1
8.14,87,3,5,4633,0,1,25,1,1,0,0.5104884,1
9.29,74,2,4,20852,0,0,0,1,0,0,0.23805133,0
5.44,50,1,5,3912,0,0,0,1,0,0,0.8144024,1
10.0,80,4,10,3279,1,1,35,1,0,1,0.5814942,1
6.04,100,2,6,3917,0,0,0,1,0,1,0.80513376,1
6.93,70,2,4,5275,0,1,41,1,1,1,0.8578393,1
7.77,85,1,5,6038,1,1,37,0,1,1,0.6125732,1
8.58,76,5,9,13134,0,1,27,1,0,0,0.45058835,1
8.37,69,2,4,6740,0,1,44,0,0,1,0.8308723,1
6.71,76,3,8,8829,0,1,39,0,0,1,0.8458061,1
6.06,95,1,4,9677,1,1,25,1,0,0,0.5881145,1
3.38,87,2,10,13185,0,0,0,1,0,0,0.7983998,1
6.3,75,5,7,7572,0,1,31,1,0,1,0.82449514,1
9.11,79,2,4,10483,0,1,36,0,0,1,0.49050668,1
5.85,43,3,10,2700,0,0,0,1,0,0,0.8999927,1
8.08,52,2,5,3082,0,0,0,1,1,0,0.5812767,1
8.23,41,3,8,3768,0,1,53,1,0,1,0.8353891,1
7.37,71,2,6,7276,0,0,0,1,1,0,0.6312857,1
6.22,93,1,4,7715,0,1,39,0,0,1,0.58952034,1
6.22,91,1,4,4975,0,0,0,1,0,0,0.60567975,1
7.03,66,3,4,2737,0,1,30,0,0,0,0.8702869,1
4.31,81,3,4,6890,0,1,14,0,1,1,0.91813815,1
9.33,79,3,4,19132,0,0,0,1,1,0,0.3562389,0
5.44,95,2,4,6830,0,0,0,0,0,1,0.829755,1
6.11,52,0,10,29576,1,1,46,1,1,1,0.740427,1
6.12,54,1,4,21897,0,1,32,1,1,0,0.6970482,1
6.64,75,1,6,5407,0,0,0,0,1,0,0.60859334,1
7.71,65,2,4,2260,0,0,0,0,1,0,0.7160488,1
9.03,52,2,5,7601,0,1,24,1,1,0,0.492481,1
7.47,70,1,8,4228,0,0,0,1,1,0,0.5789152,1
9.62,100,0,10,7959,0,1,38,0,1,1,0.12511376,0
6.52,78,1,6,9133,0,0,0,1,1,0,0.3886269,0
8.21,62,3,4,5251,0,0,0,1,1,0,0.6016152,1
8.38,88,2,10,6972,0,1,23,1,1,1,0.45496607,1
7.35,57,0,4,15063,0,0,0,0,1,0,0.42628542,1
8.18,74,0,6,6153,1,1,33,1,0,0,0.5652226,1
5.49,70,2,7,10617,0,0,0,0,1,0,0.7966663,1
9.23,80,2,9,11160,0,1,41,0,0,1,0.43970686,1
8.41,75,3,9,2997,0,0,0,1,1,0,0.5253799,1
7.39,82,4,7,15595,0,0,0,1,1,0,0.65150565,1
6.56,64,3,6,9061,0,1,10,1,0,0,0.8051792,1
8.47,75,4,9,15947,0,1,39,0,1,0,0.67147696,1
5.38,87,0,9,4977,1,0,0,1,0,1,0.7917761,1
8.3,60,2,9,3426,0,1,21,1,1,1,0.6136023,1
8.61,89,2,8,2173,1,1,17,1,0,0,0.4359215,1
10.0,78,3,4,8435,0,0,0,0,1,0,0.33246195,0
6.98,54,1,5,6764,0,1,30,1,0,0,0.7801696,1
9.29,85,1,6,6459,1,1,36,1,1,1,0.33682534,0
8.12,77,2,6,18283,0,0,0,1,1,0,0.31599224,0
4.56,59,5,9,3142,0,1,24,1,0,1,0.9391249,1
5.07,80,2,5,14809,1,0,0,0,0,0,0.78599054,1
6.28,54,2,7,9710,0,0,0,1,1,0,0.6763355,1
8.98,60,4,6,10126,0,0,0,0,1,0,0.58115995,1
9.45,62,2,8,5501,0,0,0,0,0,0,0.50252885,1
6.73,81,2,5,25920,0,1,16,1,1,0,0.48576373,1
7.82,99,4,6,3652,0,1,34,0,1,1,0.65677965,1
7.49,72,2,4,10518,1,1,18,0,1,1,0.64885193,1
3.16,80,3,5,6575,0,1,15,1,1,1,0.90917486,1
8.88,78,2,10,7743,0,0,0,1,0,1,0.32881215,0
9.39,80,2,5,6546,0,1,36,1,1,0,0.48165,1
3.55,87,1,9,6319,0,0,0,1,1,1,0.8128551,1
5.63,71,5,6,10778,0,0,0,0,1,0,0.8739319,1
6.99,82,3,4,18331,0,1,40,1,1,1,0.8156314,1
6.99,83,2,8,6938,0,1,21,0,0,1,0.70220673,1
8.81,65,0,4,3498,0,1,32,0,1,0,0.534881,1
9.0,80,4,9,18627,0,1,41,0,1,0,0.6818811,1
6.24,95,2,4,7901,1,0,0,0,0,0,0.597012,1
8.21,44,2,7,3800,0,1,39,0,1,1,0.7901669,1
6.1,67,4,4,18154,0,1,46,0,0,1,0.89830345,1
6.63,90,1,5,5726,1,0,0,1,1,0,0.56266564,1
7.5,85,2,10,5229,0,0,0,1,1,0,0.5559151,1
8.0,76,4,6,4272,0,1,39,1,1,1,0.735497,1
6.12,80,2,7,16420,0,1,37,0,1,1,0.79639995,1
10.0,64,3,8,2070,0,0,0,1,1,0,0.46267834,1
7.45,81,2,4,9941,1,1,37,0,0,1,0.6878202,1
7.14,78,2,9,11963,0,0,0,1,1,1,0.459653,1
8.36,80,3,10,3441,0,1,53,1,1,1,0.7387471,1
6.12,66,1,4,14642,0,1,15,0,0,1,0.6719346,1
7.63,76,4,7,6658,0,1,13,0,1,1,0.6649818,1
3.21,50,5,5,24582,0,1,35,0,1,1,0.9067303,1
4.38,84,2,8,17596,0,1,17,1,1,0,0.81767607,1
6.54,95,4,4,8455,0,1,25,0,1,1,0.7505962,1
6.37,58,3,6,7150,1,0,0,1,1,1,0.7991213,1
6.55,73,4,8,4575,0,0,0,0,0,0,0.899117,1
6.09,48,2,8,5901,1,1,30,1,1,1,0.87815666,1
8.06,85,1,4,30000,1,1,34,1,0,0,0.5464114,1
9.06,67,0,9,2942,0,1,25,1,0,1,0.37711087,0
6.32,73,3,5,6517,0,1,36,0,1,1,0.90208155,1
8.78,63,4,9,9458,0,1,43,1,0,1,0.7900165,1
7.74,59,3,6,21967,1,0,0,1,1,0,0.54159266,1
5.2,81,4,4,19127,0,0,0,1,0,1,0.7763681,1
4.97,77,3,8,7643,0,0,0,0,1,1,0.8826521,1
7.21,87,0,9,15920,0,0,0,1,0,0,0.27911285,0
8.85,84,3,8,6579,1,0,0,0,1,0,0.47424838,1
5.65,61,2,10,8859,0,0,0,1,1,1,0.7498803,1
3.78,98,1,5,10673,0,1,33,1,1,1,0.82137406,1
8.68,45,1,5,10521,0,1,40,0,1,1,0.6486103,1
8.97,83,0,4,9353,0,1,27,1,1,0,0.15530954,0
6.76,84,3,7,3471,0,1,16,1,0,1,0.83042246,1
8.87,94,2,6,4116,0,0,0,0,0,0,0.43815687,1
10.0,55,1,5,21118,0,1,18,1,0,0,0.18923424,0
5.77,79,2,6,5706,0,1,17,1,0,1,0.85944235,1
6.51,57,2,5,13674,1,0,0,0,1,1,0.73007685,1
6.53,100,1,4,9583,0,1,23,1,1,1,0.37407127,0
8.87,42,0,6,6925,0,0,0,0,0,0,0.37433538,0
5.77,77,0,5,4451,0,1,24,0,1,0,0.8750097,1
6.63,81,0,6,7763,0,1,41,0,0,0,0.62066436,1
9.17,63,1,10,10441,0,1,37,1,1,0,0.3831725,0
8.76,61,0,4,11791,0,1,35,1,0,0,0.377067,0
8.83,100,3,7,4035,0,0,0,1,1,0,0.48336717,1
5.67,67,3,7,13868,0,0,0,0,0,0,0.8748339,1
7.85,69,1,5,7018,0,0,0,0,1,0,0.46627158,1
6.22,79,2,6,5339,1,0,0,0,0,1,0.7528153,1
8.62,74,1,10,21428,0,1,24,1,0,0,0.3180082,0
7.95,50,1,5,7365,0,0,0,0,1,0,0.4580806,1
8.28,57,1,8,30000,0,1,16,1,0,0,0.37695655,0
6.88,62,0,9,3782,0,1,43,0,1,1,0.794978,1
7.39,67,1,6,13394,0,1,23,0,0,0,0.5879048,1
7.76,79,2,10,6618,0,0,0,1,1,1,0.5052268,1
6.82,69,1,7,6744,0,0,0,0,1,0,0.71611255,1
7.67,70,2,6,2141,0,1,26,1,0,1,0.7328885,1
5.62,82,3,8,7087,1,0,0,1,1,0,0.8450274,1
5.28,69,4,6,3134,0,0,0,0,1,1,0.91851264,1
4.44,78,4,8,9091,0,0,0,1,0,1,0.8774254,1
6.93,82,3,5,4066,1,0,0,1,1,0,0.76127946,1
8.5,72,2,10,4492,0,0,0,1,1,1,0.5395722,1
7.85,71,1,7,10882,0,1,37,1,0,1,0.62921935,1
4.02,90,2,5,5814,1,1,42,1,0,1,0.9234141,1
7.8,86,2,6,5946,0,0,0,1,0,0,0.5154138,1
7.23,100,3,9,14319,1,1,26,1,1,1,0.6147934,1
6.91,83,4,9,3384,0,0,0,0,0,1,0.7981703,1
7.53,78,0,6,27656,0,1,31,1,1,0,0.3562167,0
8.08,87,1,5,2000,0,1,52,1,0,1,0.6782573,1
9.33,81,1,6,8575,1,0,0,1,0,0,0.13734594,0
9.14,87,4,10,30000,1,0,0,1,0,0,0.30198786,0
10.0,70,1,4,6815,0,1,39,1,0,0,0.47278824,1
8.1,64,2,9,14792,0,0,0,1,0,0,0.46724385,1
6.24,48,4,9,12471,0,1,33,0,0,1,0.8771163,1
9.29,88,2,5,8936,0,0,0,0,1,0,0.21570736,0
5.26,55,2,5,3434,0,1,52,1,0,1,0.9334256,1
8.51,96,6,7,10111,1,0,0,1,0,0,0.37765554,0
5.56,64,1,9,7824,0,1,29,0,0,0,0.8624167,1
6.27,60,2,10,5621,1,0,0,1,1,0,0.7946428,1
9.12,62,1,10,15740,1,1,10,0,1,0,0.34604934,0
6.21,67,2,5,9711,1,0,0,1,1,1,0.6601115,1
8.87,83,2,5,16655,0,1,21,1,0,0,0.2997045,0
8.18,76,3,6,13458,0,0,0,1,1,0,0.45396113,1
6.97,67,1,7,30000,0,1,35,1,0,0,0.6328875,1
8.36,100,0,7,6760,0,1,20,1,1,0,0.28551722,0
8.15,46,3,4,8415,0,1,40,1,1,1,0.7941026,1
