promedio,asistencia,reprobadas,semestre,ingreso_familiar,beca,trabaja,horas_trabajo,internet_casa,computadora_propia,deserto
5.94,60,7,9,6568,0,1,25,1,1,1
6.84,77,3,10,9961,0,0,0,1,0,0
6.98,78,2,6,3564,1,1,23,0,0,1
4.91,67,1,8,11385,1,0,0,1,0,1
4.17,72,4,9,2251,0,1,28,0,0,1
5.19,69,4,7,9547,0,1,19,1,0,1
7.98,53,5,9,4385,0,1,32,0,0,1
3.0,100,2,4,30000,0,1,60,1,1,1
8.06,78,3,5,13539,0,0,0,1,1,0
3.74,68,2,5,7356,0,1,25,0,0,1
5.85,91,2,4,3128,1,0,0,0,0,1
6.25,71,2,10,30000,0,0,0,1,0,0
8.28,91,2,4,4499,0,1,27,1,1,0
7.11,65,2,7,13314,0,1,24,0,1,1
5.37,91,4,4,12020,0,0,0,0,0,0
6.17,84,3,6,5557,1,0,0,1,1,0
7.49,65,2,6,25794,0,1,38,1,1,1
8.82,86,0,5,4438,1,0,0,1,1,0
7.53,89,3,6,2617,0,1,35,0,1,1
6.92,76,1,7,14412,0,1,25,1,0,0
6.68,59,3,5,6781,0,1,24,1,0,1
9.6,58,1,8,27568,0,0,0,1,0,0
5.8,73,2,4,5564,0,0,0,1,0,0
6.37,78,1,5,16029,1,1,33,1,1,1
7.66,40,2,5,30000,0,1,34,1,0,1
9.13,85,2,6,16364,0,1,25,1,1,0
4.37,82,1,5,10522,0,1,37,0,1,1
8.64,98,1,10,20410,0,1,10,1,0,0
8.94,71,3,9,6304,0,0,0,0,0,1
7.51,70,2,4,6759,0,1,30,0,1,1
4.09,80,2,6,9069,0,1,29,0,1,1
5.96,56,3,5,25324,0,1,30,0,1,1
6.87,76,1,6,13796,1,1,10,0,0,0
7.55,50,2,5,9165,1,0,0,0,1,0
5.12,63,3,6,30000,0,1,31,1,0,1
6.7,76,1,10,3734,1,1,26,0,1,1
8.23,74,2,6,10889,0,1,26,0,0,0
6.22,59,2,7,9590,0,0,0,1,0,0
6.61,80,3,7,11252,0,0,0,0,1,0
6.35,74,2,8,23409,1,0,0,0,1,0
4.83,83,2,4,11032,0,1,17,1,1,1
6.52,64,1,8,2000,0,0,0,0,0,0
6.74,70,1,10,4635,1,1,48,1,0,1
8.28,81,2,7,6292,1,1,43,1,1,1
5.82,58,5,5,4775,0,0,0,0,0,1
5.0,79,1,7,10159,0,0,0,1,0,0
6.31,62,5,8,7412,0,0,0,0,0,1
5.68,98,1,7,9918,0,1,41,1,1,0
7.98,63,4,4,14461,1,0,0,1,0,0
6.19,82,4,10,15811,0,1,41,0,1,0
4.6,46,1,10,10888,0,1,25,0,1,0
8.05,70,4,6,2947,0,0,0,1,1,0
6.97,77,3,7,2922,1,1,22,1,0,0
7.37,71,2,4,6059,1,1,19,1,0,1
7.72,67,3,10,11114,0,1,47,1,1,1
8.78,59,1,9,3330,0,1,24,0,1,0
5.62,74,2,7,4541,0,1,38,1,0,1
8.08,70,1,8,15203,0,0,0,1,1,0
7.2,73,1,5,9267,1,0,0,0,1,0
7.18,64,1,5,14243,0,1,49,1,1,1
6.93,56,2,5,13128,0,1,25,1,0,1
6.34,87,6,7,17449,1,0,0,1,1,1
7.43,93,3,4,15360,0,1,33,1,0,0
7.13,89,2,9,18291,1,1,17,1,1,0
8.17,79,1,6,3222,0,0,0,1,0,0
9.46,78,2,6,22778,0,1,37,1,0,0
5.51,72,2,4,30000,1,1,40,1,0,1
10.0,75,1,8,2845,1,0,0,0,1,0
8.82,75,1,9,30000,0,0,0,1,1,0
5.27,61,2,7,11632,0,1,24,0,1,1
6.88,57,0,5,20741,0,0,0,1,0,0
7.08,79,1,8,7921,0,1,32,0,1,1
8.95,58,2,4,23218,0,0,0,1,0,0
5.55,95,5,9,7854,1,1,20,1,0,1
9.81,69,3,7,19609,0,0,0,1,0,0
5.37,84,2,5,3341,0,1,54,1,1,1
6.51,76,4,6,8304,0,1,44,0,1,1
6.11,71,1,7,4328,0,1,52,1,0,1
5.11,77,4,5,6082,1,0,0,0,1,1
5.29,75,1,9,29437,0,0,0,1,1,0
6.15,84,0,6,3776,0,1,52,1,0,1
6.67,82,3,9,5872,0,0,0,0,1,0
6.11,94,0,9,5526,0,1,47,0,0,1
5.61,75,4,4,4217,0,0,0,0,1,1
3.0,82,1,7,9782,0,1,20,1,1,1
6.65,64,4,5,5315,1,1,32,1,1,1
10.0,92,5,8,30000,0,1,47,1,1,1
9.73,71,1,7,9285,0,0,0,0,1,0
8.93,76,2,6,5625,0,1,24,0,1,0
6.46,64,2,9,20354,0,0,0,1,1,0
7.91,58,1,4,2945,0,1,20,0,1,1
6.24,40,1,7,5321,1,1,51,0,1,1
6.34,100,2,5,10785,1,1,25,1,1,0
7.34,93,3,4,2962,0,1,22,1,1,1
8.72,63,0,8,10859,0,1,42,0,1,1
6.3,70,3,7,6237,0,1,28,0,1,1
6.04,52,2,9,9034,1,1,29,0,0,1
7.04,85,1,7,10315,0,0,0,0,1,0
4.73,80,2,5,14163,1,1,22,1,0,1
8.46,85,1,10,5443,0,1,17,1,1,0
8.72,66,1,4,7310,1,1,30,0,1,0
8.98,83,2,4,16597,0,1,41,1,0,0
8.33,74,3,8,4343,0,1,40,1,0,1
6.15,55,3,6,8050,0,0,0,1,0,1
6.72,92,1,6,17031,1,0,0,1,1,0
5.6,67,1,9,4432,0,0,0,1,1,0
7.59,84,2,5,4259,0,1,38,1,0,0
10.0,85,2,9,3442,0,0,0,0,1,0
5.54,88,2,7,19056,1,0,0,1,0,0
8.14,87,3,5,4633,0,1,25,1,1,0
9.29,74,2,4,20852,0,0,0,1,0,0
5.44,50,1,5,3912,0,0,0,1,0,0
10.0,80,4,10,3279,1,1,35,1,0,1
6.04,100,2,6,3917,0,0,0,1,0,1
6.93,70,2,4,5275,0,1,41,1,1,1
7.77,85,1,5,6038,1,1,37,0,1,1
8.58,76,5,9,13134,0,1,27,1,0,0
8.37,69,2,4,6740,0,1,44,0,0,1
6.71,76,3,8,8829,0,1,39,0,0,1
6.06,95,1,4,9677,1,1,25,1,0,0
3.38,87,2,10,13185,0,0,0,1,0,0
6.3,75,5,7,7572,0,1,31,1,0,1
9.11,79,2,4,10483,0,1,36,0,0,1
5.85,43,3,10,2700,0,0,0,1,0,0
8.08,52,2,5,3082,0,0,0,1,1,0
8.23,41,3,8,3768,0,1,53,1,0,1
7.37,71,2,6,7276,0,0,0,1,1,0
6.22,93,1,4,7715,0,1,39,0,0,1
6.22,91,1,4,4975,0,0,0,1,0,0
7.03,66,3,4,2737,0,1,30,0,0,0
4.31,81,3,4,6890,0,1,14,0,1,1
9.33,79,3,4,19132,0,0,0,1,1,0
5.44,95,2,4,6830,0,0,0,0,0,1
6.11,52,0,10,29576,1,1,46,1,1,1
6.12,54,1,4,21897,0,1,32,1,1,0
6.64,75,1,6,5407,0,0,0,0,1,0
7.71,65,2,4,2260,0,0,0,0,1,0
9.03,52,2,5,7601,0,1,24,1,1,0
7.47,70,1,8,4228,0,0,0,1,1,0
9.62,100,0,10,7959,0,1,38,0,1,1
6.52,78,1,6,9133,0,0,0,1,1,0
8.21,62,3,4,5251,0,0,0,1,1,0
8.38,88,2,10,6972,0,1,23,1,1,1
7.35,57,0,4,15063,0,0,0,0,1,0
8.18,74,0,6,6153,1,1,33,1,0,0
5.49,70,2,7,10617,0,0,0,0,1,0
9.23,80,2,9,11160,0,1,41,0,0,1
8.41,75,3,9,2997,0,0,0,1,1,0
7.39,82,4,7,15595,0,0,0,1,1,0
6.56,64,3,6,9061,0,1,10,1,0,0
8.47,75,4,9,15947,0,1,39,0,1,0
5.38,87,0,9,4977,1,0,0,1,0,1
8.3,60,2,9,3426,0,1,21,1,1,1
8.61,89,2,8,2173,1,1,17,1,0,0
10.0,78,3,4,8435,0,0,0,0,1,0
6.98,54,1,5,6764,0,1,30,1,0,0
9.29,85,1,6,6459,1,1,36,1,1,1
8.12,77,2,6,18283,0,0,0,1,1,0
4.56,59,5,9,3142,0,1,24,1,0,1
5.07,80,2,5,14809,1,0,0,0,0,0
6.28,54,2,7,9710,0,0,0,1,1,0
8.98,60,4,6,10126,0,0,0,0,1,0
9.45,62,2,8,5501,0,0,0,0,0,0
6.73,81,2,5,25920,0,1,16,1,1,0
7.82,99,4,6,3652,0,1,34,0,1,1
7.49,72,2,4,10518,1,1,18,0,1,1
3.16,80,3,5,6575,0,1,15,1,1,1
8.88,78,2,10,7743,0,0,0,1,0,1
9.39,80,2,5,6546,0,1,36,1,1,0
3.55,87,1,9,6319,0,0,0,1,1,1
5.63,71,5,6,10778,0,0,0,0,1,0
6.99,82,3,4,18331,0,1,40,1,1,1
6.99,83,2,8,6938,0,1,21,0,0,1
8.81,65,0,4,3498,0,1,32,0,1,0
9.0,80,4,9,18627,0,1,41,0,1,0
6.24,95,2,4,7901,1,0,0,0,0,0
8.21,44,2,7,3800,0,1,39,0,1,1
6.1,67,4,4,18154,0,1,46,0,0,1
6.63,90,1,5,5726,1,0,0,1,1,0
7.5,85,2,10,5229,0,0,0,1,1,0
8.0,76,4,6,4272,0,1,39,1,1,1
6.12,80,2,7,16420,0,1,37,0,1,1
10.0,64,3,8,2070,0,0,0,1,1,0
7.45,81,2,4,9941,1,1,37,0,0,1
7.14,78,2,9,11963,0,0,0,1,1,1
8.36,80,3,10,3441,0,1,53,1,1,1
6.12,66,1,4,14642,0,1,15,0,0,1
7.63,76,4,7,6658,0,1,13,0,1,1
3.21,50,5,5,24582,0,1,35,0,1,1
4.38,84,2,8,17596,0,1,17,1,1,0
6.54,95,4,4,8455,0,1,25,0,1,1
6.37,58,3,6,7150,1,0,0,1,1,1
6.55,73,4,8,4575,0,0,0,0,0,0
6.09,48,2,8,5901,1,1,30,1,1,1
8.06,85,1,4,30000,1,1,34,1,0,0
9.06,67,0,9,2942,0,1,25,1,0,1
6.32,73,3,5,6517,0,1,36,0,1,1
8.78,63,4,9,9458,0,1,43,1,0,1
7.74,59,3,6,21967,1,0,0,1,1,0
5.2,81,4,4,19127,0,0,0,1,0,1
4.97,77,3,8,7643,0,0,0,0,1,1
7.21,87,0,9,15920,0,0,0,1,0,0
8.85,84,3,8,6579,1,0,0,0,1,0
5.65,61,2,10,8859,0,0,0,1,1,1
3.78,98,1,5,10673,0,1,33,1,1,1
8.68,45,1,5,10521,0,1,40,0,1,1
8.97,83,0,4,9353,0,1,27,1,1,0
6.76,84,3,7,3471,0,1,16,1,0,1
8.87,94,2,6,4116,0,0,0,0,0,0
10.0,55,1,5,21118,0,1,18,1,0,0
5.77,79,2,6,5706,0,1,17,1,0,1
6.51,57,2,5,13674,1,0,0,0,1,1
6.53,100,1,4,9583,0,1,23,1,1,1
8.87,42,0,6,6925,0,0,0,0,0,0
5.77,77,0,5,4451,0,1,24,0,1,0
6.63,81,0,6,7763,0,1,41,0,0,0
9.17,63,1,10,10441,0,1,37,1,1,0
8.76,61,0,4,11791,0,1,35,1,0,0
8.83,100,3,7,4035,0,0,0,1,1,0
5.67,67,3,7,13868,0,0,0,0,0,0
7.85,69,1,5,7018,0,0,0,0,1,0
6.22,79,2,6,5339,1,0,0,0,0,1
8.62,74,1,10,21428,0,1,24,1,0,0
7.95,50,1,5,7365,0,0,0,0,1,0
8.28,57,1,8,30000,0,1,16,1,0,0
6.88,62,0,9,3782,0,1,43,0,1,1
7.39,67,1,6,13394,0,1,23,0,0,0
7.76,79,2,10,6618,0,0,0,1,1,1
6.82,69,1,7,6744,0,0,0,0,1,0
7.67,70,2,6,2141,0,1,26,1,0,1
5.62,82,3,8,7087,1,0,0,1,1,0
5.28,69,4,6,3134,0,0,0,0,1,1
4.44,78,4,8,9091,0,0,0,1,0,1
6.93,82,3,5,4066,1,0,0,1,1,0
8.5,72,2,10,4492,0,0,0,1,1,1
7.85,71,1,7,10882,0,1,37,1,0,1
4.02,90,2,5,5814,1,1,42,1,0,1
7.8,86,2,6,5946,0,0,0,1,0,0
7.23,100,3,9,14319,1,1,26,1,1,1
6.91,83,4,9,3384,0,0,0,0,0,1
7.53,78,0,6,27656,0,1,31,1,1,0
8.08,87,1,5,2000,0,1,52,1,0,1
9.33,81,1,6,8575,1,0,0,1,0,0
9.14,87,4,10,30000,1,0,0,1,0,0
10.0,70,1,4,6815,0,1,39,1,0,0
8.1,64,2,9,14792,0,0,0,1,0,0
6.24,48,4,9,12471,0,1,33,0,0,1
9.29,88,2,5,8936,0,0,0,0,1,0
5.26,55,2,5,3434,0,1,52,1,0,1
8.51,96,6,7,10111,1,0,0,1,0,0
5.56,64,1,9,7824,0,1,29,0,0,0
6.27,60,2,10,5621,1,0,0,1,1,0
9.12,62,1,10,15740,1,1,10,0,1,0
6.21,67,2,5,9711,1,0,0,1,1,1
8.87,83,2,5,16655,0,1,21,1,0,0
8.18,76,3,6,13458,0,0,0,1,1,0
6.97,67,1,7,30000,0,1,35,1,0,0
8.36,100,0,7,6760,0,1,20,1,1,0
8.15,46,3,4,8415,0,1,40,1,1,1
7.42,78,0,7,2000,0,0,0,0,1,1
6.19,81,0,10,26646,0,1,31,1,1,1
8.51,84,3,10,12838,0,1,24,1,0,1
6.68,100,2,10,2000,0,0,0,1,1,0
7.1,78,0,10,5875,1,0,0,0,1,0
7.89,51,7,10,20140,0,1,35,0,1,1
7.04,94,2,4,22698,0,1,10,1,0,1
7.6,63,3,10,11768,0,0,0,0,0,0
7.67,62,3,5,7495,0,0,0,0,1,0
7.64,80,1,5,10617,1,1,23,0,0,0
7.41,63,1,6,12473,1,1,25,1,1,0
9.37,69,2,10,8699,0,1,24,1,1,1
6.44,80,3,7,9118,0,0,0,1,1,1
6.52,58,3,5,4296,0,1,44,1,0,1
5.22,83,4,6,16122,0,1,35,0,1,1
3.52,56,5,9,6035,0,1,42,1,1,1
8.24,64,2,9,22039,0,0,0,1,0,0
7.94,50,4,4,6286,0,0,0,0,1,0
9.45,83,2,5,13939,0,1,44,1,0,0
4.92,89,4,6,7006,1,1,28,1,0,0
5.98,76,0,5,11259,0,1,38,1,1,1
6.29,75,4,7,7951,0,1,33,1,0,1
10.0,61,3,5,11834,0,1,21,0,1,0
8.64,100,2,7,7776,0,0,0,0,0,0
6.91,67,2,10,3621,0,1,17,0,0,0
7.15,69,2,9,2686,0,1,32,0,1,1
7.67,80,0,4,6135,1,1,34,0,1,0
5.41,64,2,5,21473,0,0,0,1,1,0
7.71,56,2,6,4475,0,0,0,1,1,0
5.49,100,2,7,8365,0,0,0,1,0,0
7.33,74,5,6,8597,0,1,24,1,1,0
8.25,64,2,5,6938,1,1,60,0,1,1
7.61,79,6,5,6345,0,0,0,0,0,0
6.07,59,5,5,5450,0,1,43,1,0,1
6.72,53,2,9,6100,0,1,30,1,0,1
8.42,40,1,8,2347,1,1,21,1,1,1
6.36,78,1,6,7369,0,1,31,1,0,1
5.03,99,2,8,2000,1,1,38,1,0,1
6.72,52,3,6,4628,1,0,0,1,1,1
6.34,79,1,6,21197,0,1,20,1,1,0
6.83,53,3,6,2746,1,1,50,1,1,1
7.14,93,1,6,2956,1,0,0,0,1,0
6.6,74,1,10,2942,0,0,0,1,1,1
6.59,86,3,8,7043,0,0,0,0,1,1
8.56,67,1,9,28259,0,0,0,1,1,0
8.04,63,1,4,13642,0,1,28,1,1,1
8.63,69,0,6,12193,1,1,21,1,1,0
7.24,84,4,6,30000,0,0,0,1,0,0
6.53,75,2,4,4908,0,0,0,0,1,0
7.6,60,0,6,3579,0,1,43,1,0,1
4.84,99,0,4,16651,0,0,0,1,1,0
5.35,80,1,5,6171,1,1,29,0,0,0
8.43,77,1,8,10461,0,0,0,1,1,0
6.35,70,3,8,30000,1,1,36,0,1,0
6.07,73,0,8,14582,0,1,31,1,0,1
5.4,81,5,4,5130,0,1,27,1,1,1
7.8,63,0,4,9764,0,1,32,1,1,1
5.23,100,1,4,16267,0,1,16,1,0,1
9.01,71,3,4,4910,1,1,24,0,1,1
7.42,58,3,4,7274,1,0,0,1,1,0
4.36,86,3,10,3400,0,1,23,1,0,1
6.3,68,0,9,9545,0,0,0,1,1,0
5.51,65,2,5,17776,0,1,20,1,1,1
7.95,52,6,5,8285,0,1,10,0,1,1
7.91,65,3,10,5174,1,1,34,1,1,0
6.33,74,3,7,8258,1,0,0,0,1,0
6.08,52,1,6,3314,0,1,40,1,0,1
7.77,74,4,6,14662,1,1,31,0,1,1
6.1,95,2,5,8068,0,0,0,0,0,0
9.16,80,2,7,6062,0,0,0,1,0,0
6.05,72,2,8,14819,0,0,0,1,1,0
7.62,60,0,6,6193,0,0,0,1,1,0
3.99,90,3,9,13644,0,0,0,0,1,0
7.66,73,2,4,2000,0,1,33,1,1,1
6.1,99,1,7,4383,0,0,0,0,1,0
7.49,50,3,10,6466,1,1,31,0,1,1
8.81,70,5,4,4161,0,1,53,0,1,1
6.79,77,2,6,14780,0,1,35,1,1,1
3.15,75,0,7,11892,0,1,44,1,1,1
3.86,80,2,5,4273,1,0,0,0,0,0
7.19,83,1,10,7818,0,1,10,1,1,1
5.65,43,3,6,6485,0,1,26,1,0,1
5.25,97,1,6,22765,0,1,20,1,1,0
8.65,84,5,9,8080,0,1,39,1,0,0
6.69,97,3,4,7681,0,1,46,1,1,1
8.5,80,2,9,17774,0,1,32,1,1,1
8.47,77,3,4,2393,0,0,0,1,1,0
6.42,40,1,6,2520,0,0,0,1,0,0
7.24,79,1,6,19877,0,1,47,1,0,1
5.18,56,0,6,30000,1,0,0,1,1,0
7.65,93,1,4,3883,0,1,27,0,1,0
6.97,62,1,5,4238,0,1,34,1,0,1
9.49,80,3,5,7483,0,1,45,1,0,1
8.33,83,4,10,11089,0,1,24,0,1,0
6.75,74,3,10,15795,0,1,42,0,1,0
5.94,64,0,7,4677,0,1,27,1,1,0
6.66,100,1,10,2305,0,1,31,0,0,1
7.0,55,1,9,3823,1,0,0,1,1,0
8.18,66,0,6,7480,1,0,0,0,0,1
8.6,60,0,4,11094,0,0,0,1,0,0
5.12,91,2,7,9825,1,0,0,1,0,0
5.37,85,0,5,15226,0,1,33,1,1,1
7.52,71,2,4,7019,0,0,0,0,1,0
5.1,64,2,10,3903,0,0,0,1,1,0
6.85,70,0,10,21440,0,0,0,0,1,0
4.21,86,2,7,5403,0,0,0,1,0,1
6.48,96,4,7,11941,1,1,23,1,1,1
6.28,68,4,7,3488,1,1,38,1,0,1
6.48,74,2,10,10283,0,0,0,1,1,0
5.97,100,1,6,14826,0,1,22,0,1,0
7.74,98,2,7,5024,0,0,0,1,1,1
8.37,79,4,5,16373,1,0,0,0,0,0
8.12,71,2,5,2786,1,0,0,1,1,0
6.56,81,1,6,9188,0,1,29,0,1,1
6.5,69,0,5,16315,0,1,39,0,1,1
5.95,79,0,4,11884,0,1,40,1,0,0
5.85,82,5,6,3995,1,1,39,0,1,1
6.72,83,3,8,21448,1,0,0,0,1,0
6.71,79,3,5,13364,1,0,0,1,0,0
6.65,90,1,9,4052,0,1,28,1,0,1
7.35,86,3,8,9009,0,0,0,0,1,0
8.31,75,1,7,20039,0,1,33,1,0,0
5.99,64,3,9,11824,1,1,39,0,1,0
6.62,70,1,4,30000,0,0,0,1,1,0
7.84,100,2,4,6927,0,0,0,0,1,0
7.3,82,3,9,15086,0,0,0,0,1,0
5.74,96,3,9,30000,1,1,29,0,0,1
5.16,63,2,4,7252,0,1,17,1,1,1
8.0,91,3,8,11554,1,0,0,1,1,0
5.34,100,2,4,7457,1,1,49,1,0,1
7.64,63,2,4,25984,1,0,0,1,1,0
5.45,95,2,4,10179,1,1,17,1,0,0
9.73,69,4,5,12567,0,0,0,1,1,0
5.37,75,0,6,8669,0,0,0,0,1,0
9.83,68,2,10,4165,0,1,35,1,0,1
