promedio,asistencia,reprobadas,semestre,ingreso_familiar,beca,trabaja,horas_trabajo,internet_casa,computadora_propia,deserto
10.0,88,1,9,21565,1,1,38,1,1,0
8.97,90,2,3,3146,0,0,0,1,1,0
5.09,88,0,3,15643,0,1,16,1,0,1
9.4,87,1,8,10892,0,1,45,1,1,0
8.76,64,1,3,10510,0,0,0,1,1,0
5.79,61,0,4,6525,0,1,35,1,1,1
8.46,79,2,3,22837,1,0,0,1,1,0
6.21,91,0,7,16370,0,0,0,1,1,0
7.19,85,1,2,10987,0,0,0,1,1,0
8.17,91,1,7,17452,0,1,10,1,1,0
6.71,78,2,4,20675,0,1,39,0,1,1
7.68,89,0,7,22890,0,1,33,1,1,0
8.3,87,2,8,3418,0,1,25,1,1,0
7.33,100,2,5,13622,1,0,0,1,1,1
8.56,90,3,5,17206,0,1,46,1,1,1
7.77,82,1,10,24319,0,1,37,1,1,1
8.44,98,1,10,15658,0,0,0,1,1,0
7.64,71,1,3,6433,1,0,0,0,1,0
9.22,79,1,8,17486,1,0,0,1,1,0
8.42,85,1,10,23118,0,1,12,1,0,0
6.36,80,3,6,17086,0,0,0,0,1,1
8.19,67,0,6,12267,0,1,14,1,1,0
7.32,70,0,2,14763,0,1,38,1,1,1
5.8,83,1,6,8090,0,1,29,1,1,1
5.64,93,2,1,23332,1,0,0,1,0,0
6.13,68,2,3,20019,1,0,0,1,1,1
9.29,92,2,8,15859,0,0,0,1,1,0
8.33,74,2,1,24074,1,1,33,1,1,0
6.7,62,1,7,3388,1,0,0,1,1,0
7.95,92,1,8,14854,0,0,0,1,1,0
7.24,70,2,3,19778,1,1,46,1,1,1
7.83,68,0,9,20524,1,1,18,1,1,0
6.74,68,1,7,23830,1,0,0,0,1,1
7.49,82,1,5,9157,0,0,0,1,1,0
8.62,82,2,3,20730,1,1,13,0,1,0
8.31,73,1,6,16992,0,0,0,1,0,1
6.71,64,1,1,21435,1,0,0,1,0,0
7.9,57,1,2,10858,1,0,0,0,1,1
6.79,67,2,8,9774,0,0,0,1,0,0
7.07,72,1,1,18269,0,1,44,1,1,1
8.44,79,1,6,23006,0,1,20,1,1,0
7.13,87,1,4,21879,1,0,0,0,1,0
8.25,80,1,6,21855,1,1,35,1,1,0
8.94,74,1,10,4127,0,1,42,1,1,0
6.41,77,1,9,22981,1,0,0,1,1,0
5.96,100,0,4,12827,0,1,15,1,1,0
6.57,90,0,2,23784,0,0,0,1,0,0
6.88,95,2,6,19428,0,1,31,1,1,1
9.0,77,0,1,10801,1,0,0,1,1,0
8.21,71,2,1,4321,0,1,26,0,1,1
9.44,91,2,8,20016,0,0,0,0,0,0
7.41,94,2,8,17048,1,0,0,1,1,0
6.06,98,1,1,18391,0,1,26,1,1,1
7.62,74,2,8,10547,0,0,0,1,0,0
7.69,100,3,8,3325,0,0,0,1,1,0
7.2,98,1,5,15719,0,1,36,1,1,0
5.6,59,3,1,7474,1,1,36,0,1,1
9.2,86,1,10,14644,0,1,24,1,1,0
8.4,75,2,10,11521,0,1,15,1,1,1
8.52,82,1,9,18562,0,1,25,1,1,1
8.13,87,1,3,18635,1,1,31,1,1,1
7.27,77,2,1,4162,1,1,16,1,1,1
7.2,74,1,10,20524,1,0,0,1,1,0
7.21,75,2,2,23855,1,0,0,0,1,1
6.16,77,1,9,19794,0,0,0,1,1,1
6.12,82,2,9,17775,0,0,0,1,1,0
7.88,92,1,8,9193,0,0,0,0,1,0
6.13,80,3,8,13162,1,0,0,1,1,1
6.17,75,1,6,5086,1,1,27,1,1,1
5.58,88,5,3,19391,1,0,0,1,0,1
8.64,73,1,3,14734,0,0,0,0,1,0
6.58,60,0,4,13625,1,0,0,0,1,1
6.97,57,3,1,4723,1,0,0,1,1,1
7.81,86,0,7,22936,1,1,13,1,1,0
5.96,85,3,3,17141,0,1,38,1,0,1
8.05,73,2,3,22101,0,1,15,1,1,0
8.57,97,2,6,18572,0,0,0,1,1,0
8.12,88,1,2,24176,0,0,0,1,1,0
7.86,78,2,6,11225,1,1,10,1,1,0
7.41,68,2,7,15411,0,1,15,1,1,1
6.48,81,0,6,6496,1,1,35,1,1,1
6.78,84,0,5,19632,0,0,0,1,0,0
8.87,86,0,4,9111,0,1,32,1,1,0
7.64,76,4,2,17827,1,0,0,0,1,1
7.11,63,0,10,12783,0,1,42,1,1,1
8.57,100,1,5,19361,0,1,23,1,1,0
8.68,99,3,9,19581,0,0,0,1,1,0
7.12,68,0,9,3691,0,0,0,1,1,1
6.69,96,1,4,5024,0,0,0,1,1,1
6.69,86,0,6,24701,0,1,37,1,1,1
5.61,69,2,6,10961,0,0,0,1,1,1
8.48,75,2,7,20487,1,0,0,0,1,0
5.13,99,0,8,15713,1,1,34,1,1,1
7.69,83,1,10,9049,0,0,0,1,1,0
6.05,81,0,7,10469,0,1,41,1,1,1
4.89,92,1,2,24109,0,1,24,1,1,1
9.64,93,1,9,17480,1,0,0,1,1,0
8.17,60,0,9,15020,0,0,0,1,0,0
8.84,87,0,5,24704,1,1,31,1,1,0
8.64,72,1,3,5111,0,1,47,1,1,1
7.52,91,0,3,21763,0,0,0,1,1,0
10.0,72,2,7,16108,1,0,0,0,1,0
9.0,79,0,2,16322,1,1,47,1,1,1
9.36,96,1,1,19260,1,0,0,1,0,0
7.11,91,2,7,19279,0,0,0,1,1,1
8.69,91,3,1,21825,1,0,0,1,1,0
3.0,94,1,6,24699,0,0,0,1,1,1
6.75,78,2,2,17594,1,1,14,1,1,1
7.61,96,4,4,7741,0,1,19,0,1,0
8.08,93,1,6,10298,0,0,0,0,0,0
8.13,95,2,10,6599,0,1,11,0,0,1
7.95,61,1,5,24606,0,0,0,0,0,0
10.0,78,0,2,15509,0,0,0,0,1,0
6.25,89,2,8,5809,0,0,0,0,1,0
10.0,78,1,8,20165,0,0,0,1,0,0
6.92,66,1,2,18495,0,1,25,1,1,1
8.17,85,2,5,23221,0,0,0,1,1,0
7.18,86,2,9,3367,0,0,0,1,1,1
9.81,68,2,9,18183,0,0,0,1,1,0
7.82,85,2,7,17833,1,0,0,0,1,0
6.0,72,2,10,4961,0,1,17,1,0,1
7.21,80,0,1,8478,0,1,20,1,1,1
6.86,100,1,2,21420,0,1,13,1,1,0
7.0,68,2,7,5492,0,0,0,1,1,1
9.43,73,2,1,3609,1,0,0,1,1,1
8.21,79,0,4,21857,1,1,26,1,0,0
6.79,84,1,7,16680,1,0,0,1,1,0
5.8,85,1,9,18204,1,0,0,1,1,0
7.99,85,2,5,14034,0,1,21,1,1,1
7.55,95,2,6,17289,0,0,0,1,0,0
7.89,79,2,10,12649,1,0,0,1,1,1
5.74,83,3,6,10796,0,1,42,0,0,1
7.54,71,1,7,23396,0,0,0,1,0,0
6.64,84,0,3,4648,0,0,0,1,1,1
9.71,82,2,8,17635,0,1,33,0,1,0
7.23,84,2,6,17433,0,0,0,0,1,1
8.89,58,0,7,12621,1,1,18,0,1,0
9.28,89,2,6,13129,0,1,31,0,1,0
7.24,70,2,9,20738,0,0,0,1,1,0
9.16,97,1,4,18131,1,1,26,1,1,0
6.73,73,0,3,5953,1,0,0,1,1,0
6.92,92,0,8,4558,0,0,0,1,1,0
5.71,75,1,2,15341,0,0,0,1,1,1
7.8,64,0,1,18283,0,0,0,1,1,0
5.85,79,0,7,15809,0,0,0,1,1,1
6.96,84,0,4,14810,0,0,0,1,1,0
6.88,59,2,4,7061,1,0,0,1,1,1
5.39,68,0,7,23038,0,0,0,1,0,1
6.41,90,1,2,12591,1,0,0,0,1,0
10.0,79,2,1,3724,1,1,19,1,1,0
9.89,91,0,10,18683,0,0,0,1,1,0
6.85,88,2,3,15750,0,0,0,1,1,1
6.87,66,0,5,8565,0,0,0,1,1,1
7.27,79,4,5,18702,0,0,0,1,0,1
7.24,99,1,4,6601,0,1,11,0,0,1
6.56,100,2,4,12066,0,0,0,0,1,1
8.62,99,4,8,18032,0,0,0,1,1,0
7.73,82,2,8,11767,1,0,0,1,1,0
7.91,100,0,7,24498,0,0,0,1,1,0
6.48,71,2,2,19022,1,0,0,0,1,0
9.28,60,0,1,20155,0,1,31,0,1,0
9.28,88,0,6,15925,1,1,47,1,1,0
6.58,71,0,4,19124,0,0,0,1,1,0
7.22,81,1,5,4134,0,1,13,0,1,0
6.8,93,1,8,8857,0,0,0,1,1,0
7.76,74,5,10,16618,0,1,10,1,1,1
7.59,74,1,5,10245,0,1,29,1,0,1
7.58,76,0,1,20110,1,0,0,1,1,0
4.56,89,2,9,18999,0,1,31,1,1,1
8.73,68,0,5,21587,0,1,36,0,1,1
8.55,62,1,7,16636,1,1,21,0,1,0
4.23,81,2,9,8854,1,0,0,1,1,1
5.17,89,1,5,10164,1,0,0,0,0,1
7.52,91,1,4,19548,0,0,0,1,1,0
7.22,96,3,7,22786,0,0,0,1,0,1
8.86,76,1,3,11292,0,0,0,1,1,1
6.23,58,3,8,15191,0,0,0,0,1,1
7.55,98,3,9,18694,0,1,35,1,1,1
6.76,80,2,2,12911,1,1,40,1,1,1
9.98,73,0,10,22973,0,1,45,1,0,0
6.91,83,1,9,14769,1,1,37,1,1,1
8.44,97,0,5,4879,1,0,0,1,1,0
9.26,79,2,8,11376,1,1,44,1,1,0
5.84,87,0,5,5749,0,0,0,1,1,0
9.41,90,2,6,12738,0,0,0,0,1,0
8.23,100,1,5,17627,1,0,0,0,0,0
7.37,82,1,10,6300,0,1,24,1,1,1
8.07,73,0,4,3836,0,1,43,1,1,1
8.64,66,1,7,4121,0,0,0,0,1,1
7.47,74,2,9,17667,0,1,46,1,1,1
7.02,81,0,10,3670,0,1,40,1,0,1
8.85,100,0,9,17125,0,1,43,1,1,0
7.91,84,2,5,20605,0,0,0,1,1,0
8.24,62,3,5,16912,1,0,0,0,1,0
10.0,68,0,6,22315,1,1,16,1,1,0
7.26,63,3,4,21428,0,1,20,1,1,1
7.27,82,0,7,11070,1,0,0,0,1,0
9.09,88,1,7,8605,1,0,0,1,1,0
9.56,85,6,10,7473,0,0,0,1,1,1
7.22,76,2,9,19237,0,1,22,1,1,0
5.71,86,1,2,19915,0,0,0,1,0,1
8.99,81,1,10,23052,1,0,0,1,1,0
9.96,80,0,6,12586,1,0,0,1,0,0
7.87,74,3,1,13615,0,0,0,1,1,1
7.27,86,0,5,7537,0,0,0,1,1,0
9.23,100,1,6,5222,0,1,41,0,1,0
5.34,69,1,9,13086,1,0,0,1,1,1
5.82,93,0,6,17056,1,0,0,1,1,0
9.05,69,1,9,21188,0,0,0,0,1,0
7.31,83,1,4,17910,0,1,33,1,1,1
8.75,98,1,2,22949,0,1,33,1,0,1
6.62,87,1,8,3094,1,1,44,0,1,0
6.33,89,2,2,8352,0,0,0,1,0,1
6.56,73,2,6,13849,0,1,17,1,1,1
8.54,86,1,7,10608,0,0,0,1,1,0
6.9,83,0,5,7672,0,0,0,1,0,0
8.69,92,1,1,17065,1,0,0,1,0,0
7.45,64,1,4,16452,0,1,24,1,1,1
7.29,87,1,1,14182,1,1,14,0,1,1
7.38,79,2,3,15952,0,0,0,0,1,0
7.64,70,0,6,15363,0,0,0,1,1,0
7.69,96,3,9,22891,0,0,0,1,0,0
6.31,68,2,3,11640,0,0,0,0,1,1
5.06,75,0,7,13663,0,0,0,1,1,0
10.0,77,0,9,21570,0,0,0,1,0,0
9.04,69,1,9,12851,1,1,18,0,0,0
9.87,80,1,10,23944,1,0,0,0,1,0
6.68,95,1,2,10314,0,1,18,1,1,1
7.74,71,1,9,22996,0,0,0,1,1,0
7.26,76,1,2,4142,0,0,0,1,1,0
7.47,84,2,9,4242,1,1,40,1,0,1
6.79,87,1,4,21240,0,1,30,1,1,1
6.0,73,1,3,5948,0,1,21,1,1,1
6.75,84,0,9,17819,1,1,14,1,1,0
7.42,66,2,5,17951,0,1,15,1,0,1
7.52,81,0,10,15497,0,1,25,1,1,1
6.35,82,2,3,7369,1,0,0,0,0,0
10.0,82,1,3,6111,0,0,0,1,1,0
6.87,74,0,2,9769,1,1,42,0,0,1
7.6,71,1,5,13946,0,0,0,1,1,0
7.84,79,1,2,24939,0,1,26,1,1,0
7.44,81,2,4,9256,0,1,45,1,1,1
8.34,89,1,4,17358,0,0,0,0,1,1
7.23,72,1,9,22267,0,0,0,1,1,1
7.57,77,2,9,22219,0,0,0,1,1,0
7.39,83,1,7,4865,0,1,45,1,0,1
6.35,90,1,2,9528,1,0,0,1,0,0
7.95,96,0,4,7436,1,0,0,1,1,0
6.96,86,0,10,9069,1,0,0,0,0,0
8.75,76,0,5,12943,0,1,41,0,1,0
7.0,47,1,6,4746,0,1,46,0,1,1
5.95,87,0,8,15662,0,0,0,1,1,0
7.37,99,1,4,13297,1,1,16,1,1,0
5.68,68,0,9,10532,0,1,32,1,1,1
7.95,84,1,3,22905,0,1,22,1,1,0
7.05,80,2,6,11715,0,0,0,1,0,0
6.92,71,2,8,3412,0,0,0,1,1,1
7.98,84,0,10,8033,1,1,40,0,1,0
8.78,88,0,1,22382,1,0,0,1,1,0
9.38,93,0,6,3972,1,0,0,1,1,0
7.48,63,3,6,24800,0,0,0,1,1,1
6.62,50,3,5,10653,1,1,13,1,0,1
7.21,68,3,5,14317,0,0,0,1,1,1
8.91,88,0,4,13564,0,1,37,1,1,0
9.42,87,2,5,4587,0,0,0,1,1,0
7.25,87,1,6,12322,0,0,0,1,0,0
7.81,70,1,1,3371,0,0,0,1,1,1
4.43,69,0,4,18922,1,1,28,1,1,1
5.9,80,1,8,10813,0,1,42,1,0,1
7.14,75,1,9,7052,0,1,27,1,1,1
8.56,84,1,8,10574,0,1,47,1,1,1
7.61,94,1,5,19099,0,0,0,1,1,0
10.0,61,1,10,7880,0,1,10,1,1,0
8.44,71,0,9,11833,0,0,0,1,1,0
7.95,79,2,10,12692,0,0,0,1,0,0
6.64,72,0,9,15774,0,0,0,1,0,0
5.74,74,1,8,3336,1,1,29,0,1,1
5.56,79,1,8,5172,0,1,32,1,1,1
6.9,83,3,8,19063,0,1,26,1,0,1
7.92,87,0,8,15794,0,0,0,1,1,1
7.67,73,1,9,9022,0,0,0,1,1,1
10.0,70,3,1,16266,1,1,31,0,1,1
4.09,75,1,5,4237,0,1,38,1,1,1
8.8,86,1,3,20783,0,0,0,1,0,0
6.69,77,2,1,7433,1,1,44,1,1,1
7.05,88,2,7,6580,1,0,0,1,1,0
4.67,95,1,10,17813,0,1,47,1,1,1
6.68,75,2,8,3933,1,0,0,1,1,1
6.61,76,2,2,14987,0,0,0,0,1,1
8.2,78,3,3,6929,1,0,0,1,1,0
8.19,63,0,9,5008,0,0,0,1,1,0
7.13,93,0,2,9719,0,0,0,1,1,0
8.02,80,0,3,10377,1,1,32,1,0,0
6.7,67,0,7,11924,0,0,0,1,0,0
9.89,70,0,2,16946,1,1,14,1,1,0
7.04,82,0,3,21986,1,1,11,1,1,0
6.52,75,0,9,14464,1,1,25,1,0,0
6.9,82,1,5,16489,0,1,41,0,1,1
7.02,75,0,2,13129,1,1,14,1,1,1
10.0,100,4,8,13413,0,0,0,1,1,0
7.46,85,2,8,3201,1,0,0,1,1,1
9.14,85,4,4,7782,0,0,0,1,0,0
8.45,90,1,4,15036,0,0,0,1,1,0
7.21,80,2,4,11888,0,0,0,1,1,1
5.77,80,2,7,20158,0,0,0,1,0,1
7.0,69,0,10,15710,1,1,15,1,1,0
7.56,96,1,1,8816,1,1,28,1,1,0
7.96,72,0,5,9036,1,1,29,0,1,1
8.2,84,1,3,3931,0,0,0,1,0,0
6.1,85,3,8,17753,0,0,0,1,0,1
5.67,85,0,3,10432,0,0,0,0,0,1
6.12,61,1,5,22731,0,0,0,1,1,1
4.84,84,0,8,15661,0,0,0,1,0,1
5.54,75,1,5,18438,0,0,0,1,0,0
5.57,64,1,9,6214,1,1,36,1,1,1
7.53,69,1,2,13398,0,0,0,1,0,0
8.5,86,0,6,11354,0,1,45,0,0,0
7.03,82,3,7,24465,0,0,0,1,1,0
6.74,100,2,4,17743,0,0,0,1,1,1
8.46,96,0,5,18894,0,1,40,1,1,0
6.73,82,0,10,3905,0,1,38,1,1,1
6.86,64,0,3,13833,0,1,12,1,1,0
7.19,84,4,6,11628,1,1,41,1,0,1
6.83,88,1,8,8957,0,1,26,1,1,0
6.42,78,0,4,12396,0,0,0,1,1,0
6.32,84,0,6,20489,0,1,18,1,1,1
8.2,76,2,9,21207,0,0,0,0,0,0
6.13,82,2,6,9307,0,0,0,1,1,0
8.71,62,2,9,20832,0,0,0,1,0,0
9.55,100,3,6,9719,0,0,0,1,1,0
8.75,64,0,10,21160,0,0,0,1,0,0
6.73,78,0,5,17093,0,0,0,1,1,0
9.29,78,2,10,13932,0,0,0,0,1,0
6.27,72,2,1,3907,1,1,47,1,1,1
8.94,88,3,9,24709,1,1,24,0,1,0
5.75,78,0,10,12313,0,1,27,0,0,1
7.71,90,5,6,13103,1,1,15,0,1,1
6.22,92,0,9,12895,0,0,0,1,1,0
8.66,82,0,9,23360,0,0,0,1,1,0
8.07,83,0,1,14601,0,0,0,1,1,0
10.0,70,1,4,4418,0,0,0,1,1,0
7.63,67,2,5,4763,0,0,0,1,1,0
6.94,97,0,3,19277,0,1,32,1,1,0
9.73,75,2,10,20017,0,0,0,1,1,0
8.6,98,3,1,12921,0,0,0,1,1,0
5.58,98,0,3,24603,0,0,0,1,1,1
7.72,100,1,5,18740,0,0,0,1,1,0
9.28,90,3,2,3285,0,0,0,0,1,0
5.24,75,1,4,3909,1,0,0,0,1,1
6.26,66,1,5,11260,0,0,0,1,1,1
6.64,82,0,4,7652,0,0,0,1,1,1
7.82,79,1,9,17878,0,1,31,1,1,0
7.69,77,2,9,8637,0,1,30,1,1,1
5.5,77,1,2,11322,1,0,0,1,1,1
7.13,86,1,10,11373,0,0,0,0,0,0
6.01,96,2,2,8370,1,1,17,1,1,1
8.13,68,0,5,11298,0,1,47,1,1,0
6.63,88,2,10,20406,1,0,0,1,1,1
8.22,79,0,9,7333,0,1,29,0,1,0
5.56,76,1,2,18195,0,0,0,0,1,1
8.42,71,2,8,16725,0,0,0,1,0,0
8.82,79,0,6,23881,1,0,0,0,1,0
6.92,95,1,10,9834,1,1,19,0,1,1
8.54,87,4,8,12466,1,1,29,1,0,1
7.82,72,2,9,14858,0,0,0,1,1,0
8.0,88,1,8,10554,0,0,0,0,0,0
9.43,91,1,7,4569,0,1,43,1,1,0
9.45,73,3,6,24092,1,0,0,1,1,0
8.39,100,1,5,23554,0,0,0,1,1,0
7.14,91,2,8,11092,1,0,0,1,1,0
6.48,92,0,8,18919,0,1,36,1,1,1
6.77,75,0,4,22232,1,1,34,1,1,0
10.0,80,0,2,3544,0,0,0,1,0,0
8.29,78,0,6,10901,1,0,0,1,1,0
7.42,68,1,2,17580,1,1,32,1,1,1
10.0,68,0,10,16577,1,0,0,1,1,0
6.83,87,0,8,19524,0,0,0,1,1,0
8.45,100,1,7,16540,0,0,0,1,1,0
7.39,75,1,10,9832,1,1,33,1,1,1
7.06,88,1,4,18591,0,1,10,1,1,0
10.0,82,3,4,22900,0,0,0,1,1,0
8.35,98,2,2,23308,0,1,23,1,1,1
8.3,62,1,9,3246,0,0,0,1,1,1
5.23,68,2,5,3224,0,0,0,0,1,1
6.69,76,2,10,13298,1,0,0,1,1,1
6.44,75,2,10,16501,1,1,15,1,1,1
6.71,73,1,6,3274,0,1,19,1,1,1
6.84,70,0,2,16179,0,0,0,1,1,0
7.61,62,1,9,10799,0,0,0,1,1,0
5.24,80,2,10,6330,1,0,0,1,1,1
6.42,87,0,3,6977,0,1,44,1,1,1
10.0,83,1,7,13226,1,1,30,1,0,0
7.3,82,0,7,11069,0,0,0,1,1,1
8.36,82,1,10,13106,1,0,0,1,1,0
7.97,72,5,2,6318,0,1,23,1,1,1
5.22,64,1,8,15026,1,0,0,0,1,1
7.73,100,4,7,16274,0,1,23,1,1,1
7.35,60,0,5,9573,0,1,33,1,0,1
10.0,100,2,4,12355,0,1,18,1,1,0
7.5,72,1,2,21343,0,1,41,1,0,0
9.17,80,1,3,7896,1,1,25,1,0,1
8.28,60,0,8,12058,1,0,0,1,1,0
9.79,100,1,2,21573,1,0,0,1,1,0
6.84,85,1,6,10120,0,1,16,1,0,0
7.65,87,1,8,3045,0,1,40,0,0,1
9.37,72,1,1,15202,0,1,13,1,1,0
5.61,75,0,6,9902,0,1,16,1,0,1
9.14,77,2,3,24665,0,0,0,1,1,0
8.65,79,3,3,9667,0,0,0,1,1,0
9.59,78,1,7,18285,0,0,0,0,0,0
6.9,59,3,7,8463,0,0,0,1,1,1
7.17,80,0,3,18855,0,0,0,0,1,0
6.81,95,2,9,21139,0,1,10,0,1,1
9.14,74,2,8,3149,1,1,20,1,1,1
10.0,75,0,2,16994,0,1,35,1,0,0
6.64,71,1,1,11931,1,0,0,1,1,0
9.03,95,1,8,8808,0,1,25,1,1,0
6.41,86,2,3,6701,0,0,0,1,1,0
7.32,85,0,1,19492,1,0,0,1,1,0
5.12,83,1,10,9857,0,1,28,1,1,1
4.95,57,0,8,7576,1,0,0,1,0,1
8.77,62,1,10,20799,0,1,27,1,0,0
7.97,73,0,10,15040,0,1,10,1,1,0
6.75,76,0,2,7625,0,0,0,0,1,0
7.69,83,0,9,7600,1,0,0,0,1,0
9.01,72,1,2,13277,0,0,0,1,1,0
8.39,89,1,2,4798,1,0,0,1,0,0
8.68,97,0,10,5432,0,0,0,1,1,0
6.74,88,0,7,7079,1,0,0,1,1,1
5.09,99,0,2,7937,1,1,20,1,1,1
6.92,72,0,9,3778,0,0,0,0,1,0
6.24,83,2,10,21290,0,0,0,1,1,1
6.07,79,1,8,21825,0,0,0,1,1,0
6.47,86,1,10,21435,0,0,0,0,1,0
7.35,96,1,3,15630,0,0,0,1,1,0
8.46,100,1,2,11413,0,0,0,1,0,0
9.11,76,2,6,16994,1,1,36,1,1,1
8.21,96,0,2,22060,1,0,0,1,1,0
7.67,88,3,3,24952,1,0,0,1,1,1
10.0,78,0,8,4132,0,1,38,1,0,0
10.0,78,0,9,5181,0,0,0,0,0,0
6.6,85,1,7,6966,0,0,0,1,1,1
7.45,100,0,10,22125,0,0,0,0,1,0
7.81,99,1,7,17677,1,1,20,1,1,0
6.36,82,2,4,18047,0,0,0,1,0,1
6.53,80,2,6,18006,0,1,25,1,0,1
