Matricula,Oferta Educativa,Grado,Genero,Promedio Final,Promedio Cuatrimestre Anterior,Promedio Bachillerato,probabilidad_desercion,riesgo
1717699155,Contaduría,noveno ,Mujer,9.4,9.0,9.9,0.00715352,0
1721054806,Innovación de Negocios y Mercadotecnia,tercero ,Mujer,9.0,9.5,8.9,0.005363469,0
1744126515,Contaduría,sexto ,Mujer,9.0,9.5,9.0,0.006579382,0
1711121385,Tecnologías de la Información e Innovación Digital,tercero ,Hombre,9.2,9.6,8.4,0.003305412,0
1707692043,Médico Cirujano y Partero,sexto ,Hombre,9.0,8.9,7.7,0.0050354567,0
1797090374,Diseño Digital y Producción Audiovisual,undécimo ,Mujer,9.4,7.9,7.2,0.028133854,0
1715412866,Criminalística y Ciencias Forenses,tercero ,Mujer,9.3,9.6,8.2,0.0033871601,0
1757373782,Médico Cirujano y Partero,tercero ,Mujer,8.9,9.4,7.1,0.0144303525,0
1721922441,Negocios y Mercadotecnia,sexto ,Mujer,9.0,8.8,8.8,0.004665794,0
1795450489,Enfermería,cuarto ,Hombre,9.6,9.5,8.3,0.0054169847,0
1710989885,Enfermería,primero ,Mujer,9.7,8.3,7.8,0.8579881,1
1770930702,Contaduría,undécimo ,Mujer,9.4,9.8,8.6,0.0036484143,0
1737596719,Médico Cirujano y Partero,tercero ,Mujer,9.2,9.0,8.1,0.006317073,0
1772626195,Industrial,primero ,Mujer,9.1,8.7,8.7,0.84471035,1
1722864968,Negocios y Mercadotecnia,primero ,Hombre,9.4,8.8,8.9,0.8670239,1
1706598038,Enfermería,noveno ,Hombre,9.3,9.0,8.1,0.007383145,0
1739281351,Terapia Física,quinto ,Hombre,8.7,9.2,8.4,0.8366109,1
1777029845,Innovación de Negocios y Mercadotecnia,sexto ,Mujer,9.5,9.2,8.6,0.0046492214,0
1739175480,Terapia Física,segundo ,Mujer,9.6,8.9,7.7,0.83071464,1
1745455637,Terapia Física,décimo tercero,Mujer,9.5,9.3,8.6,0.003946434,0
1768622743,Enfermería,tercero ,Hombre,8.9,9.2,7.7,0.0052799466,0
1775133550,Negocios y Mercadotecnia,sexto ,Mujer,9.0,8.8,8.8,0.004665794,0
1775281792,Médico Cirujano y Partero,cuarto ,Mujer,8.7,8.7,8.3,0.032205246,0
1745953230,Terapia Física,tercero ,Mujer,9.7,9.5,7.7,0.0068088146,0
1730095432,Diseño Digital y Producción Audiovisual,noveno ,Hombre,9.1,9.5,8.2,0.0064482554,0
1705179469,Negocios y Mercadotecnia,cuarto ,Mujer,9.9,9.2,8.2,0.0054262974,0
1717130480,Energías Renovables,noveno ,Mujer,9.8,9.7,9.1,0.0059273113,0
1787562041,Enfermería,tercero ,Mujer,9.0,8.0,8.6,0.010287592,0
1747812207,Diseño Digital y Producción Audiovisual,noveno ,Hombre,9.0,8.8,8.0,0.0046170102,0
1757842444,Criminalística y Ciencias Forenses,tercero ,Mujer,9.4,8.5,9.4,0.004248973,0
1729389817,Innovación de Negocios y Mercadotecnia,noveno ,Hombre,8.7,10.0,8.8,0.021842524,0
1776725060,Diseño Digital y Producción Audiovisual,tercero ,Mujer,9.1,9.6,8.3,0.003850781,0
1780061477,Enfermería,noveno ,Hombre,9.1,9.1,7.6,0.008435837,0
1726255262,Negocios y Mercadotecnia,noveno ,Hombre,9.8,9.6,8.3,0.007491773,0
1779303635,Salud Reproductiva y Partería,undécimo ,Mujer,9.3,9.8,8.4,0.003322772,0
1780460351,Enfermería,noveno ,Hombre,9.1,9.8,8.7,0.0037310272,0
1794905537,Innovación de Negocios y Mercadotecnia,noveno ,Mujer,9.0,9.7,8.8,0.0032891035,0
1737743122,Terapia Física,undécimo ,Hombre,9.5,9.0,8.9,0.0068126884,0
1733943975,Contaduría,tercero ,Hombre,9.1,8.9,7.6,0.005836662,0
1757699718,Diseño Digital y Producción Audiovisual,noveno ,Mujer,9.2,8.6,8.6,0.010088043,0
1707334747,Mecatrónica,tercero ,Hombre,9.0,9.5,8.4,0.005237316,0
1790985278,Criminalística y Ciencias Forenses,segundo ,Hombre,8.8,9.1,10.0,0.87974703,1
1756044935,Innovación de Negocios y Mercadotecnia,tercero ,Mujer,8.9,8.9,8.5,0.0041631274,0
1768056274,Mecatrónica,sexto ,Mujer,9.1,8.9,8.1,0.0059503326,0
1784893849,Negocios y Mercadotecnia,undécimo ,Hombre,9.2,10.0,8.6,0.003328783,0
1782389516,Salud Reproductiva y Partería,sexto ,Hombre,9.2,9.7,8.5,0.0041035092,0
1711025786,Salud Reproductiva y Partería,tercero ,Mujer,9.2,10.0,7.4,0.0046576955,0
1735470059,Enfermería,noveno ,Mujer,9.1,9.5,8.7,0.006397283,0
1714060380,Criminalística y Ciencias Forenses,undécimo ,Mujer,9.6,9.2,8.3,0.003946353,0
1735570606,Médico Cirujano y Partero,undécimo ,Mujer,9.5,9.2,8.5,0.0038036213,0
1727207210,Enfermería,sexto ,Mujer,9.2,8.6,8.0,0.0047335355,0
1721150152,Mecatrónica,noveno ,Hombre,9.3,8.4,7.9,0.012172085,0
1730766299,Energía y Desarrollo Sostenible,sexto ,Mujer,9.1,9.5,9.0,0.007419525,0
1721066167,Enfermería,undécimo ,Hombre,8.4,8.6,9.1,0.0054711294,0
1708627675,Negocios y Mercadotecnia,noveno ,Mujer,9.2,9.3,8.7,0.005971889,0
1784220712,Diseño Digital y Producción Audiovisual,noveno ,Mujer,9.3,9.8,7.5,0.0039234143,0
1777334546,Contaduría,tercero ,Mujer,8.7,8.8,8.8,0.0047057075,0
1716960642,Enfermería,tercero ,Mujer,9.4,10.0,7.5,0.0047333445,0
1723110439,Enfermería,tercero ,Hombre,9.1,8.6,8.1,0.005443471,0
1712663445,Negocios y Mercadotecnia,tercero ,Hombre,9.3,9.8,9.0,0.0033767726,0
1781423957,Industrial,sexto ,Hombre,9.2,9.4,8.9,0.0066012437,0
1709760120,Salud Reproductiva y Partería,noveno ,Hombre,9.6,9.9,8.7,0.0037419028,0
1787186855,Contaduría,tercero ,Hombre,9.3,8.5,9.2,0.0046990453,0
1739916451,Enfermería,segundo ,Mujer,9.5,10.0,8.8,0.8597531,1
1749385104,Mecatrónica,tercero ,Hombre,9.6,9.1,7.4,0.0057083424,0
1785964954,Terapia Física,undécimo ,Hombre,8.9,9.6,8.3,0.0055738166,0
1785718469,Tecnologías de la Información e Innovación Digital,noveno ,Mujer,9.0,10.0,8.5,0.0032561957,0
1709491502,Industrial,sexto ,Hombre,9.4,8.8,8.4,0.0053279125,0
1743294730,Mecatrónica,tercero ,Mujer,9.1,9.7,8.2,0.0039253584,0
1767251675,Desarrollo y gestión de software,noveno ,Mujer,9.2,8.7,7.9,0.005075874,0
1754709332,Enfermería,sexto ,Hombre,9.6,10.0,9.8,0.004178643,0
1723018914,Mecatrónica,segundo ,Mujer,9.1,8.7,8.3,0.8466002,1
1788700879,Criminalística y Ciencias Forenses,noveno ,Mujer,8.9,9.2,9.8,0.005584886,0
1786221425,Tecnologías de la Información e Innovación Digital,segundo ,Hombre,9.0,9.4,7.9,0.822573,1
1712400986,Terapia Física,tercero ,Mujer,9.9,9.6,8.9,0.010258125,0
1707274064,Mecatrónica,undécimo ,Mujer,9.2,10.0,8.6,0.0033462655,0
1755781898,Innovación de Negocios y Mercadotecnia,noveno ,Hombre,8.8,8.9,8.0,0.005633734,0
1799606945,Enfermería,undécimo ,Mujer,8.7,9.8,8.2,0.00395642,0
1796468271,Criminalística y Ciencias Forenses,tercero ,Mujer,9.0,10.0,8.5,0.0034796142,0
1761362196,Salud Reproductiva y Partería,undécimo ,Hombre,9.2,9.3,8.0,0.005551583,0
1707212479,Diseño Digital y Producción Audiovisual,noveno ,Hombre,9.5,8.8,8.3,0.0044808807,0
1766670358,Terapia Física,undécimo ,Mujer,9.5,8.1,7.2,0.020375839,0
1710916291,Terapia Física,sexto ,Hombre,9.2,10.0,8.9,0.0064950325,0
1761263048,Enfermería,décimo tercero,Hombre,9.1,9.0,9.2,0.007979403,0
1778986340,Industrial,tercero ,Mujer,9.3,8.6,8.7,0.0041697673,0
1702713148,Contaduría,primero ,Mujer,8.7,8.4,9.7,0.845061,1
1704808739,Enfermería,primero ,Mujer,9.8,8.6,8.9,0.8740517,1
1744567718,Criminalística y Ciencias Forenses,primero ,Hombre,9.4,9.7,9.1,0.8653779,1
1763373542,Criminalística y Ciencias Forenses,noveno ,Mujer,9.5,9.8,9.2,0.0037717368,0
1791898092,Terapia Física,sexto ,Mujer,8.9,9.6,7.0,0.018065237,0
1775445608,Diseño Digital y Producción Audiovisual,séptimo ,Hombre,9.6,9.2,8.7,0.0044636354,0
1723909211,Criminalística y Ciencias Forenses,tercero ,Hombre,9.1,8.4,7.7,0.014319932,0
1707225788,Criminalística y Ciencias Forenses,noveno ,Mujer,8.9,8.7,7.8,0.004890745,0
1734187282,Mecatrónica,undécimo ,Mujer,9.2,8.5,7.9,0.0041843215,0
1781987841,Terapia Física,undécimo ,Mujer,9.2,9.5,8.3,0.008982975,0
1775749154,Negocios y Mercadotecnia,tercero ,Mujer,8.9,8.5,8.8,0.003911435,0
1740172927,Contaduría,undécimo ,Hombre,9.0,8.7,8.7,0.0045257523,0
1771705727,Contaduría,primero ,Hombre,8.9,9.1,8.5,0.8852693,1
1708849356,Negocios y Mercadotecnia,tercero ,Mujer,8.9,8.2,8.9,0.0051087197,0
1749826994,Contaduría,décimo tercero,Mujer,9.1,9.2,8.9,0.006377564,0
1761316108,Innovación de Negocios y Mercadotecnia,tercero ,Hombre,8.8,9.1,8.7,0.0058154804,0
1707172526,Negocios y Mercadotecnia,sexto ,Mujer,9.0,9.9,7.5,0.004455631,0
1798145333,Contaduría,tercero ,Mujer,9.6,8.7,8.1,0.0039753537,0
1713050950,Industrial,tercero ,Mujer,9.5,8.4,8.5,0.010698122,0
1759711323,Contaduría,décimo tercero,Mujer,8.9,8.9,8.9,0.0044013183,0
1760529691,Terapia Física,sexto ,Hombre,9.5,8.5,7.8,0.007829204,0
1713028663,Terapia Física,sexto ,Mujer,8.6,9.2,8.5,0.010047412,0
1713520744,Enfermería,tercero ,Mujer,9.9,8.1,7.6,0.011376946,0
1735284209,Tecnologías de la Información e Innovación Digital,noveno ,Mujer,9.6,8.8,9.1,0.003937752,0
1751208717,Mecatrónica,noveno ,Hombre,9.1,8.6,8.6,0.011821456,0
1780471362,Médico Cirujano y Partero,sexto ,Mujer,9.3,9.5,7.7,0.007135353,0
1747923860,Contaduría,sexto ,Mujer,8.8,8.7,7.7,0.0054923054,0
1733858554,Diseño Digital y Producción Audiovisual,décimo tercero,Mujer,9.3,8.1,8.7,0.010923908,0
1741770741,Enfermería,sexto ,Mujer,9.2,9.0,9.2,0.0073702023,0
1715805875,Negocios y Mercadotecnia,noveno ,Mujer,9.0,9.4,7.9,0.00521411,0
1727808553,Contaduría,tercero ,Hombre,9.1,9.0,8.9,0.008253636,0
1709710100,Energías Renovables,primero ,Mujer,9.1,8.8,8.2,0.8560847,1
1780395615,Terapia Física,sexto ,Mujer,8.9,8.8,8.9,0.0073419022,0
1769911960,Contaduría,noveno ,Hombre,9.0,9.2,8.9,0.0055242716,0
1772585868,Negocios y Mercadotecnia,tercero ,Mujer,8.8,8.6,8.6,0.0043053445,0
1717713633,Negocios y Mercadotecnia,quinto ,Mujer,9.5,9.0,7.5,0.7662,1
1759592891,Contaduría,sexto ,Mujer,8.9,9.6,8.9,0.0042800126,0
1756829263,Salud Reproductiva y Partería,undécimo ,Hombre,8.9,8.4,8.8,0.0056633577,0
1776462151,Terapia Física,sexto ,Mujer,9.5,9.1,8.7,0.0072994945,0
1725478292,Mecatrónica,tercero ,Hombre,9.3,8.1,8.6,0.010729842,0
1725060497,Negocios y Mercadotecnia,primero ,Hombre,9.5,9.3,8.0,0.8418656,1
1734337102,Tecnologías de la Información e Innovación Digital,sexto ,Mujer,9.5,8.6,9.1,0.0046390025,0
1783941311,Industrial,primero ,Hombre,9.8,9.8,9.0,0.9016949,1
1735692295,Criminalística y Ciencias Forenses,décimo tercero,Mujer,9.2,8.3,7.9,0.011761155,0
1721740297,Terapia Física,primero ,Mujer,8.8,9.4,9.2,0.8403264,1
1736916445,Nanotecnología,tercero ,Hombre,9.3,9.9,8.6,0.003328783,0
1785768316,Contaduría,primero ,Hombre,9.0,8.6,8.6,0.84525865,1
1750881244,Tecnologías de la Información e Innovación Digital,sexto ,Mujer,8.9,8.7,8.4,0.004733821,0
1707736925,Enfermería,décimo tercero,Mujer,9.3,8.6,8.4,0.010328499,0
1799804370,Negocios y Mercadotecnia,undécimo ,Mujer,9.5,8.9,9.2,0.0038223607,0
1785384440,Salud Reproductiva y Partería,primero ,Hombre,9.0,9.5,9.1,0.84037465,1
1707753118,Desarrollo y gestión de software,noveno ,Mujer,9.6,8.8,9.0,0.004106014,0
1743906254,Criminalística y Ciencias Forenses,noveno ,Mujer,8.9,8.5,8.6,0.010420865,0
1744002934,Mecatrónica,tercero ,Mujer,9.2,8.0,9.0,0.009852443,0
1717181867,Contaduría,primero ,Mujer,9.4,10.0,8.0,0.86976546,1
1716536319,Enfermería,sexto ,Hombre,9.1,10.0,8.8,0.004417374,0
1767140675,Mecatrónica,noveno ,Mujer,8.7,9.5,8.4,0.031272907,0
1745106699,Mecatrónica,primero ,Hombre,9.5,8.7,7.4,0.79281425,1
1711097707,Médico Cirujano y Partero,noveno ,Mujer,9.0,9.6,7.6,0.003594108,0
1783002448,Diseño Digital y Producción Audiovisual,tercero ,Hombre,9.5,9.7,8.1,0.004009474,0
1791158088,Terapia Física,noveno ,Mujer,8.8,9.0,8.7,0.0071345866,0
1784831535,Enfermería,sexto ,Mujer,8.9,9.2,8.1,0.00571987,0
1725118620,Diseño Digital y Producción Audiovisual,noveno ,Mujer,9.5,9.9,8.2,0.0042259856,0
1775684096,Criminalística y Ciencias Forenses,tercero ,Mujer,9.3,8.2,8.9,0.011345245,0
1742800025,Salud Reproductiva y Partería,tercero ,Mujer,9.1,9.8,8.2,0.0039253584,0
1792791824,Criminalística y Ciencias Forenses,tercero ,Hombre,9.3,9.0,9.2,0.006963166,0
1797154984,Desarrollo y gestión de software,undécimo ,Hombre,8.9,8.5,9.1,0.0044767368,0
1714365146,Desarrollo y gestión de software,tercero ,Mujer,9.3,8.6,8.5,0.004257511,0
1764832345,Negocios y Mercadotecnia,sexto ,Mujer,9.3,8.7,8.9,0.005113683,0
1721343279,Médico Cirujano y Partero,segundo ,Mujer,9.1,8.5,8.8,0.8399567,1
1731103986,Salud Reproductiva y Partería,tercero ,Mujer,9.0,10.0,8.4,0.0033418492,0
1796670997,Contaduría,noveno ,Hombre,9.3,9.5,9.0,0.0064463583,0
1733356507,Terapia Física,primero ,Hombre,9.2,9.8,9.0,0.78206205,1
1796554589,Diseño Digital y Producción Audiovisual,segundo ,Mujer,9.1,9.5,8.0,0.8774767,1
1789798977,Contaduría,undécimo ,Mujer,8.9,9.2,8.6,0.0056131072,0
1709431723,Innovación de Negocios y Mercadotecnia,undécimo ,Mujer,9.2,9.2,8.6,0.0056070155,0
1769812390,Diseño Digital y Producción Audiovisual,primero ,Hombre,9.1,8.9,9.0,0.86368525,1
1761402106,Tecnologías de la Información e Innovación Digital,sexto ,Mujer,8.9,9.0,8.2,0.00661885,0
1740542698,Negocios y Mercadotecnia,primero ,Hombre,9.2,8.3,8.2,0.823727,1
1788126412,Enfermería,tercero ,Hombre,9.7,9.8,8.6,0.0035425103,0
1795680672,Energías Renovables,segundo ,Mujer,9.1,8.1,9.1,0.8477771,1
1739596374,Contaduría,sexto ,Hombre,9.7,8.5,7.8,0.0050853225,0
1703287058,Criminalística y Ciencias Forenses,noveno ,Mujer,9.9,10.0,7.9,0.006714655,0
1763014475,Negocios y Mercadotecnia,tercero ,Hombre,8.9,9.2,8.2,0.0050781937,0
1771259255,Enfermería,undécimo ,Mujer,9.2,9.3,8.3,0.0055677383,0
1716150216,Negocios y Mercadotecnia,tercero ,Mujer,9.9,9.5,7.5,0.004925758,0
1737593486,Diseño Digital y Producción Audiovisual,décimo tercero,Hombre,9.2,8.3,9.3,0.011947739,0
1798607326,Diseño Digital y Producción Audiovisual,primero ,Hombre,9.2,8.3,8.4,0.8530787,1
1727543770,Desarrollo y gestión de software,tercero ,Hombre,8.7,8.9,8.3,0.004587675,0
1784355176,Contaduría,primero ,Mujer,9.1,8.6,9.4,0.85845494,1
1704531306,Terapia Física,primero ,Hombre,9.4,9.1,8.9,0.9024112,1
1711841880,Diseño Digital y Producción Audiovisual,undécimo ,Mujer,9.9,9.5,8.2,0.004411621,0
1723693165,Tecnologías de la Información e Innovación Digital,sexto ,Hombre,9.2,10.0,8.6,0.004091832,0
1725543909,Terapia Física,tercero ,Mujer,8.7,9.6,8.5,0.0061344686,0
1751279526,Terapia Física,tercero ,Hombre,8.8,8.6,9.3,0.006646623,0
1738421121,Enfermería,sexto ,Hombre,9.2,8.9,8.4,0.005293615,0
1731981850,Enfermería,décimo tercero,Hombre,9.6,8.8,7.7,0.0045551923,0
1730532285,Industrial,tercero ,Mujer,9.4,8.6,7.5,0.0046863044,0
1784174138,Mecatrónica,primero ,Mujer,9.4,8.4,9.3,0.87250406,1
1733151622,Criminalística y Ciencias Forenses,sexto ,Hombre,9.6,10.0,8.1,0.004672204,0
1742198117,Mecatrónica,noveno ,Mujer,9.0,9.2,8.9,0.0050367755,0
1786282482,Criminalística y Ciencias Forenses,primero ,Hombre,9.2,9.0,8.5,0.9015337,1
1760336704,Desarrollo y gestión de software,décimo tercero,Mujer,9.1,9.5,8.3,0.0067335404,0
1763335614,Energía y Desarrollo Sostenible,sexto ,Mujer,9.2,9.5,8.3,0.006681186,0
1732656454,Criminalística y Ciencias Forenses,sexto ,Hombre,8.9,9.8,9.4,0.004181128,0
1761455496,Industrial,sexto ,Mujer,9.1,8.7,7.7,0.0055502877,0
1797640491,Salud Reproductiva y Partería,tercero ,Mujer,9.2,9.4,8.3,0.0056121484,0
1744143020,Criminalística y Ciencias Forenses,sexto ,Mujer,9.1,8.6,9.0,0.005424504,0
1743649313,Terapia Física,sexto ,Mujer,9.2,9.1,7.8,0.011908776,0
1717283594,Diseño Digital y Producción Audiovisual,sexto ,Hombre,9.4,9.2,9.2,0.007148273,0
1790807880,Salud Reproductiva y Partería,undécimo ,Mujer,9.6,9.3,9.0,0.003780417,0
1710919746,Desarrollo y gestión de software,sexto ,Hombre,9.6,9.2,8.6,0.0044374648,0
1717570067,Salud Reproductiva y Partería,noveno ,Hombre,9.5,9.6,8.2,0.0043024183,0
1724064778,Industrial,sexto ,Mujer,8.8,8.8,7.7,0.004872677,0
1760272704,Contaduría,undécimo ,Hombre,9.1,9.3,8.9,0.006339513,0
1734793326,Industrial,primero ,Mujer,9.1,8.7,10.0,0.8457693,1
1722944579,Salud Reproductiva y Partería,noveno ,Mujer,9.0,10.0,8.6,0.0032861517,0
1750778811,Criminalística y Ciencias Forenses,primero ,Hombre,9.3,8.6,7.5,0.7812906,1
1720338889,Contaduría,sexto ,Mujer,8.7,8.8,8.7,0.0052765543,0
1761943715,Salud Reproductiva y Partería,noveno ,Mujer,9.7,9.7,9.0,0.0036930933,0
1741907168,Enfermería,sexto ,Mujer,9.6,8.9,8.0,0.004374764,0
1787981533,Salud Reproductiva y Partería,sexto ,Mujer,9.4,9.7,8.1,0.005012581,0
1742074296,Terapia Física,undécimo ,Mujer,9.2,9.3,8.1,0.00848238,0
1760814477,Contaduría,décimo tercero,Hombre,9.6,8.9,8.2,0.004807489,0
1766558511,Salud Reproductiva y Partería,tercero ,Mujer,9.4,8.7,8.4,0.0040850267,0
1743126754,Terapia Física,undécimo ,Mujer,9.6,8.7,8.0,0.005818147,0
1707252668,Terapia Física,noveno ,Mujer,9.2,8.9,7.8,0.004448289,0
1747997042,Criminalística y Ciencias Forenses,tercero ,Mujer,9.8,9.1,8.6,0.0039524795,0
1703729189,Tecnologías de la Información e Innovación Digital,tercero ,Mujer,9.6,8.7,8.4,0.0037340664,0
